Course_Name,Company_Offering,Skills_Gained,Ratings,Number_of_Ratings,Course_Link
Arizona State University TESOL,Arizona State University,"Human Learning, Strategy, Planning, Writing, Mergers & Acquisitions",4.9,19000,https://www.coursera.org/professional-certificates/arizona-state-university-tesol
IBM Introduction to Machine Learning,IBM,"Machine Learning, Machine Learning Algorithms, Algorithms, Statistical Machine Learning, Human Learning, Probability & Statistics, Applied Machine Learning, Data Analysis, Regression, General Statistics, Feature Engineering, Machine Learning Software, Exploratory Data Analysis, Dimensionality Reduction, Statistical Analysis, Data Model, Statistical Tests, Data Structures",4.6,1000,https://www.coursera.org/specializations/ibm-intro-machine-learning
"JavaScript Programming with React, Node & MongoDB",IBM,"Javascript, Web Development, Computer Programming, Computer Science, Front-End Web Development, NoSQL, React (web framework)",4.4,661,https://www.coursera.org/specializations/javascript-programming-with-react-node-mongodb
Indigenous Canada,University of Alberta,Critical Thinking,4.8,22000,https://www.coursera.org/learn/indigenous-canada
Graphic Design,California Institute of the Arts,"Graphic Design, Design and Product, Communication, Computer Graphic Techniques, Computer Graphics, Creativity, Graph Theory, Visualization (Computer Graphics), Geometry, Interactive Design",4.7,20000,https://www.coursera.org/specializations/graphic-design
"Python for Data Science, AI & Development",IBM,"Python Programming, Computer Programming, Data Analysis",4.6,35000,https://www.coursera.org/learn/python-for-applied-data-science-ai
Become a CBRS Certified Professional Installer by Google,Google - Spectrum Sharing,"Communication, SAS (Software), Regulations and Compliance, Systems Design, System Security, Network Architecture, Process Analysis, Training, Decision Making, Operating Systems, Leadership and Management",4.6,192,https://www.coursera.org/learn/google-cbrs-cpi-training
The Bits and Bytes of Computer Networking,Google,"Computer Networking, Network Architecture, Network Model, Networking Hardware, Network Analysis, Critical Thinking, Problem Solving, Computer Architecture, Human Computer Interaction, Network Security, Cloud Computing",4.7,48000,https://www.coursera.org/learn/computer-networking
Connect and Protect: Networks and Network Security,Google,"Network Security, Cloud Computing, Network Architecture",4.8,4000,https://www.coursera.org/learn/networks-and-network-security
Excel Skills for Business,Macquarie University,"Microsoft Excel, Spreadsheets, Business Analysis, Data Analysis, Graphing, Data Visualization, Data Cleansing, Data Integrity",4.9,60000,https://www.coursera.org/specializations/excel
Prepare Data for Exploration,Google,"Data Collection, Data Management, Business Intelligence Software, Data Analysis",4.8,19000,https://www.coursera.org/learn/data-preparation
Preparing for Google Cloud Certification: Cloud Engineer,Google Cloud,"Google Cloud, Cloud Engineering, Kubernetes, Cloud Storage, Identity and Access Management, Servers, Cloud Infrastructure, Cloud Security, Docker (Software), Information Privacy, Terraform, Virtualization and Virtual Machines",4.7,58000,https://www.coursera.org/professional-certificates/cloud-engineering-gcp
Introduction to Psychology,Yale University,"Psychology, Language Acquisition",4.9,28000,https://www.coursera.org/learn/introduction-psychology
Preparing for Google Cloud Certification: Cloud Architect,Google Cloud,"Google Cloud, Cloud Engineering, Kubernetes, Cloud Security, Cloud Infrastructure, Cloud Storage, Identity and Access Management, Servers, CI/CD, Cloud Management, Data Storage, Disaster Recovery, Docker (Software), Information Privacy, Microservices, Software Design Patterns, Terraform, Virtualization and Virtual Machines, Web Development Tools",4.7,58000,https://www.coursera.org/professional-certificates/gcp-cloud-architect
What is Data Science?,IBM,"Big Data, Data Analysis, Data Mining, Data Science, Deep Learning, Machine Learning",4.7,68000,https://www.coursera.org/learn/what-is-datascience
Project Planning: Putting It All Together,Google,"Project Management, Budget Management, Risk Management, Procurement, Project Planning, Project Schedules, Strategic Thinking",4.8,12000,https://www.coursera.org/learn/project-planning-google
Introduction to Generative AI,Google Cloud,"Generative AI, Artificial Intelligence, ChatGPT",4.6,8000,https://www.coursera.org/learn/introduction-to-generative-ai
AI Product Management,Duke University,"Machine Learning, Machine Learning Algorithms, Human Factors, MLOps (Machine Learning Operations), Probability and Statistics, Regression Analysis, Data Analysis, Data Mining, Deep Learning, Artificial Intelligence, Artificial Intelligence and Machine Learning (AI/ML), Artificial Neural Networks, Computer Vision, Natural Language Processing",4.6,482,https://www.coursera.org/specializations/ai-product-management-duke
AWS Cloud Solutions Architect,Amazon Web Services,"Cloud Engineering, Amazon Web Services, Apache Spark, Apache Hadoop, Cloud Storage, Kubernetes, PySpark",4.8,2000,https://www.coursera.org/professional-certificates/aws-cloud-solutions-architect
Introduction to Data Analytics,IBM,"Data Analysis, Data Management, Data Science, Data Visualization, Microsoft Excel",4.8,15000,https://www.coursera.org/learn/introduction-to-data-analytics
Architecting with Google Compute Engine,Google Cloud,"Google Cloud, Cloud Engineering, Cloud Storage, Servers, Cloud Infrastructure, Cloud Security, Identity and Access Management, Information Privacy, Kubernetes, Microservices, Software Design Patterns, Terraform, Virtualization and Virtual Machines, Web Development Tools",4.7,57000,https://www.coursera.org/specializations/gcp-architecture
Learn SQL Basics for Data Science,"University of California, Davis","Databases, SQL, Data Management, Data Analysis, Big Data, Data Model, Exploratory Data Analysis, Database Administration, Problem Solving, Database Design, Business Analysis, Database Application, Extract, Transform, Load, Critical Thinking, Apache, Computer Programming Tools, Data Architecture, Customer Analysis, Distributed Computing Architecture, Python Programming, Data Science",4.6,17000,https://www.coursera.org/specializations/learn-sql-basics-data-science
Introduction to Statistics,Stanford University,"General Statistics, Probability & Statistics, Statistical Analysis, Critical Thinking, Basic Descriptive Statistics, Data Analysis, Statistical Tests, Probability Distribution, Problem Solving, Statistical Visualization",4.6,9000,https://www.coursera.org/learn/stanford-statistics
Tableau Business Intelligence Analyst,Tableau Learning Partner,"Business Analysis, Data Analysis, Data Architecture, Data Management, Data Visualization, Interactive Data Visualization, Leadership and Management, Project Management, Tableau Software",4.7,326,https://www.coursera.org/professional-certificates/tableau-business-intelligence-analyst
"TESOL Certificate, Part 1: Teach English Now!",Arizona State University,"Human Learning, Planning, Strategy, Mergers & Acquisitions",4.9,18000,https://www.coursera.org/specializations/tesol
Attract and Engage Customers with Digital Marketing,Google,"Digital Marketing, Marketing, Search Engine Optimization, Marketing Management, Advertising, Media Strategy & Planning, Persona Research, Web Design, Web Development, Web Development Tools",4.8,9000,https://www.coursera.org/learn/attract-and-engage-customers
AWS Cloud Technology Consultant,Amazon Web Services,"Amazon Web Services, Cloud API, Cloud Computing, Cloud Infrastructure, Cloud Storage, Continuous Integration, Customer Support, Data Analysis, Data Architecture, DevOps, Information Technology, Leadership and Management, Project Management, Python Programming, Software Architecture, Software Testing, Strategy, Web Development",4.8,9000,https://www.coursera.org/professional-certificates/aws-cloud-technology-consultant
Data Analysis and Presentation Skills: the PwC Approach,PwC,"Data Analysis, Business Analysis, Data Management, Data Visualization, Microsoft Excel, Data Analysis Software, Spreadsheet Software, Problem Solving, Statistical Analysis, Interactive Data Visualization, Financial Analysis, Statistical Visualization, Extract, Transform, Load, Data Model, Data Visualization Software, General Statistics, Big Data, Critical Thinking, Professional Development, Visualization (Computer Graphics), Decision Making, Communication, Leadership and Management, Business Communication, Storytelling, Business Process Management, Customer Analysis, Forecasting, Visual Design, Planning",4.6,11000,https://www.coursera.org/specializations/pwc-analytics
Digital Product Management,University of Virginia,"Agile Software Development, Product Management, Leadership and Management, Design and Product, Software Engineering, Product Development, Project Management, User Experience, Customer Analysis, Product Design, Research and Design, Data Analysis, Business Analysis, Communication, Continuous Delivery, Planning, Probability & Statistics, Product Strategy, Strategy",4.7,2000,https://www.coursera.org/specializations/uva-darden-digital-product-management
Construction Management,Columbia University,"Project Management, Leadership and Management, Strategy and Operations, Planning, Estimation, Operations Management, Budget Management, Accounting, Decision Making, Finance, Cost Accounting, Critical Thinking, Financial Accounting, Performance Management, Strategy, Financial Analysis, Investment Management, Financial Management, Process Analysis, Risk Management, Computational Logic, Statistical Visualization, Collaboration, Innovation, Mathematics, Business Intelligence, Change Management, Business Transformation, Supply Chain and Logistics, Market Analysis, Entrepreneurship",4.7,3000,https://www.coursera.org/specializations/construction-management
Leading the Modern Day Business,University of Virginia,"Leadership and Management, Strategy and Operations, Entrepreneurship, Marketing, Sales, Strategy, Business Analysis, Business Transformation, Product Management, Business Process Management, Creativity, Innovation, Planning, Product Strategy, Storytelling",4.7,19000,https://www.coursera.org/specializations/leading-modern-day-business
AWS Fundamentals,Amazon Web Services,"Amazon Web Services, Cloud Computing, Cloud Infrastructure, Cloud Management, Cloud Applications, Cloud Platforms, Cloud Engineering, Cloud Storage, Network Security, Cloud API, Cloud-Based Integration, Computer Security Models, Security Engineering, Security Software, Security Strategy, System Security, Software Security, Cloud Standards, Computer Programming Tools, Database Design, Databases, Software Architecture, Data Architecture, Continuous Delivery, Data Visualization, Leadership and Management, Data Analysis, Planning",4.8,5000,https://www.coursera.org/specializations/aws-fundamentals
Connected Leadership,Yale University,"Leadership and Management, Change Management, People Management, Process Analysis",4.8,343,https://www.coursera.org/learn/connected-leadership
"Start the UX Design Process: Empathize, Define, and Ideate",Google,"Audit, Human Computer Interaction, User Experience, User Experience Design, User Research",4.8,14000,https://www.coursera.org/learn/start-ux-design-process
Google Cloud Database Engineer,Google Cloud,"Databases, Cloud Computing, Google Cloud Platform, Data Management, Cloud Platforms, Database Administration, Database Application, SQL, Cloud Infrastructure, Cloud Storage, Data Analysis, Google App Engine, Kubernetes, PostgreSQL",4.7,48000,https://www.coursera.org/specializations/google-cloud-database-engineer
Introduction to Artificial Intelligence (AI),IBM,"Algorithms, Applied Machine Learning, Artificial Neural Networks, Computer Vision, Deep Learning, Human Learning, Machine Learning, Machine Learning Algorithms, Machine Learning Software, Adaptability, Data Science",4.7,13000,https://www.coursera.org/learn/introduction-to-ai
Agile Project Management,Google,"Agile Software Development, Software Engineering, Project Management, Scrum (Software Development), Strategy and Operations, Collaboration, Leadership and Management, Communication, Entrepreneurship, Product Management, Influencing, Problem Solving",4.8,11000,https://www.coursera.org/learn/agile-project-management
Entrepreneurship,University of Pennsylvania,"Entrepreneurship, Strategy, Leadership and Management, Strategy and Operations, Planning, Business Development, Business Analysis, Entrepreneurial Finance, Innovation, Finance, Financial Management, Market Research, Critical Thinking, Product Strategy, Business Psychology, Decision Making, Financial Accounting, Financial Analysis, Marketing, Accounting, Adaptability, Investment Management, User Research, Culture",4.8,4000,https://www.coursera.org/specializations/wharton-entrepreneurship
Supply Chain Management,Rutgers the State University of New Jersey,"Supply Chain Systems, Supply Chain and Logistics, Planning, Strategy and Operations, Inventory Management, Leadership and Management, Operations Management, Business Analysis, Continuous Delivery, Data Analysis, Estimation, Forecasting, Microsoft Excel, Spreadsheet Software, Statistical Analysis, Strategy, Supplier Relationship Management, Warehouse Management, Operational Analysis, Probability & Statistics, Transportation Operations Management, Material Handling, Project Management, Store Management, Operations Research",4.7,14000,https://www.coursera.org/specializations/supply-chain-management
Architecting with Google Kubernetes Engine,Google Cloud,"Cloud Computing, Kubernetes, Google Cloud Platform, Cloud Platforms, Cloud Engineering, Cloud Infrastructure, Cloud Management, Cloud Storage, Billing & Invoicing, Google App Engine, DevOps, Software As A Service, Account Management",4.7,49000,https://www.coursera.org/specializations/architecting-google-kubernetes-engine
Preparing for Google Cloud Certification: Cloud Security Engineer,Google Cloud,"Cloud Computing, Google Cloud Platform, Network Security, Cloud Platforms, Cloud Engineering, Computer Security Models, Security Engineering, Software Security, Network Architecture, System Security, Cloud Infrastructure, Computer Networking, Security Strategy, Computer Security Incident Management, Cloud Management, Network Model, Software-Defined Networking, Security Software, Cloud Storage, Google App Engine, Leadership and Management, Kubernetes",4.7,49000,https://www.coursera.org/professional-certificates/google-cloud-security
Medical Billing and Coding Fundamentals,MedCerts,"Communication, Leadership and Management",4.8,450,https://www.coursera.org/specializations/medical-billing-coding-fundamentals
The Science of Well-Being,Yale University,,4.9,37000,https://www.coursera.org/learn/the-science-of-well-being
Business Strategy,University of Virginia,"Strategy, Strategy and Operations, Leadership and Management, Entrepreneurship, Marketing, Sales, Market Analysis, Business Development, Business Analysis, Business Transformation, Finance, Investment Management, Planning, Product Strategy, Business Design, Research and Design, Risk Management",4.8,1000,https://www.coursera.org/specializations/business-strategy
Writing in the Sciences,Stanford University,Writing,4.9,3000,https://www.coursera.org/learn/sciwrite
Preparing for Google Cloud Certification: Cloud Network Engineer,Google Cloud,"Google Cloud, Cloud Engineering, Cloud Infrastructure, Cloud Storage, Kubernetes, Load Balancing, Virtualization and Virtual Machines",4.7,48000,https://www.coursera.org/professional-certificates/google-cloud-networking
Search Engine Optimization (SEO),"University of California, Davis","Search Engine Optimization, Marketing, Content Marketing, Digital Marketing, Data Analysis, Entrepreneurship, Information Architecture, Management, Market Analysis, Operations Management, Persona Development, Sales, Social Media, Strategic Planning, Strategic Thinking, Web Analytics and SEO",4.6,12000,https://www.coursera.org/specializations/seo
Linear Algebra for Machine Learning and Data Science,DeepLearning.AI,"Linear Algebra, Generative AI, Machine Learning, Machine Learning Algorithms, Mathematics and Mathematical Modeling",4.5,3000,https://www.coursera.org/learn/machine-learning-linear-algebra
Preparing for Google Cloud Certification: Cloud DevOps Engineer,Google Cloud,"Google Cloud, Kubernetes, Cloud Engineering, Communications, DevOps, Management, Collaboration, Entrepreneurship, New Product Development, Product Design, Product Management, Cloud Storage, Continuous Delivery, Human Resource Planning, Leadership Development, Operations Management, Research and Development, Security Engineering, Strategic Planning, Cloud Infrastructure, Cloud Security, Continuous Integration, Emotional Intelligence, Engineering Practices, Human Computer Interaction, Industrial and Organizational Psychology, Microservices, Network Troubleshooting, Problem Solving, Recruitment, Software Design Patterns, Systems Engineering, Talent Management, Teamwork, User Experience (UX), User Experience (UX) Design, Web Development Tools",4.7,53000,https://www.coursera.org/professional-certificates/sre-devops-engineer-google-cloud
Networking in Google Cloud,Google Cloud,"Google Cloud, Cloud Engineering, Cloud Infrastructure, Cloud Storage, Kubernetes, Load Balancing, Virtualization and Virtual Machines",4.7,48000,https://www.coursera.org/specializations/networking-google-cloud-platform
DevOps on AWS,Amazon Web Services,"Cloud Engineering, DevOps, Continuous Delivery, Amazon Web Services, CI/CD, Cloud Storage, Git (Version Control System)",4.8,5000,https://www.coursera.org/specializations/aws-devops
Modern Project Management Certificate,SkillUp EdTech,"Project Management, Initiative and Leadership, Risk Management, Leadership Development, Business Communications",4.6,216,https://www.coursera.org/specializations/skillup-edtech-modern-project-management
Tools of the Trade: Linux and SQL,Google,"Cybersecurity, Linux, Cyber Engineering, Security Software",4.8,9000,https://www.coursera.org/learn/linux-and-sql
Preparing for Google Cloud Certification: Cloud Developer,Google Cloud,"Google Cloud, Cloud Engineering, Kubernetes, Cloud Native Computing, Cloud Storage, Cloud Security, Application Programming Interface (API), Cloud Infrastructure, Debugging, Docker (Software), Load Balancing, Natural Language Processing, NoSQL, Terraform",4.7,51000,https://www.coursera.org/professional-certificates/google-cloud-developer
Process Data from Dirty to Clean,Google,"Data Cleansing, Data Analysis, Data Integrity, Data Management",4.8,15000,https://www.coursera.org/learn/process-data
Security in Google Cloud,Google Cloud,"Google Cloud, Cloud Security, Identity and Access Management, Application Security, Auditing, Cloud Engineering, Cloud Infrastructure, Cloud Storage, Data Loss Prevention, Kubernetes, SQL (Programming Language), Vulnerability Scanning",4.7,48000,https://www.coursera.org/specializations/security-google-cloud-platform
The Materiality of ESG Factors,University of Pennsylvania,"Corporate Sustainability, Investment Management, Risk Management, Economics, Policy, and Social Studies, Environment and Resource Management, Compensation Management, Financial Analysis, Governance Risk Management and Compliance, Regulation and Legal Compliance, Sustainability Reporting",4.7,983,https://www.coursera.org/specializations/materiality-esg-factors
Developing Applications with Google Cloud,Google Cloud,"Cloud API, Cloud Computing, Cloud Platforms, Google Cloud Platform, Cloud Applications, Application Development, Cloud Infrastructure, Computer Architecture, Software Architecture, Data Architecture, Cloud Storage, Google App Engine, Kubernetes",4.7,49000,https://www.coursera.org/specializations/developing-apps-gcp
Fundamentals of Project Planning and Management,University of Virginia,"Project Management, Strategy and Operations, Leadership and Management, Planning",4.7,8000,https://www.coursera.org/learn/uva-darden-project-management
Crash Course on Python,Google,"Computer Programming, Data Structures, Problem Solving, Python Programming",4.8,36000,https://www.coursera.org/learn/python-crash-course
"NoSQL, Big Data, and Spark Foundations",IBM,"Apache, Big Data, Data Management, Distributed Computing Architecture, Databases, NoSQL, Extract, Transform, Load, SQL, Cloud Computing, Data Model, Machine Learning, Data Architecture, Database Administration, Database Design, IBM Cloud, Database Theory, Kubernetes, Python Programming, Data Warehousing, Process Analysis",4.5,549,https://www.coursera.org/specializations/nosql-big-data-and-spark-foundations
Foundations of Positive Psychology,University of Pennsylvania,Resilience,4.8,5000,https://www.coursera.org/specializations/positivepsychology
Leadership Skills,IIMA - IIM Ahmedabad,"Communication, Leadership and Management, People Management",4.8,1000,https://www.coursera.org/learn/leadershipskills
Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator,Yale University,"Negotiation, Game Theory, Strategy",4.9,8000,https://www.coursera.org/learn/negotiation
OKR Certification: Leadership and Goal Setting,Measure What Matters,"Leadership and Management, Strategy, Strategy and Operations, Business Transformation, Communication, Organizational Development, Professional Development, Critical Thinking, Leadership Development, Performance Management, Planning",4.9,407,https://www.coursera.org/learn/okr
Improve Your English Communication Skills,Georgia Institute of Technology,"Communication, Writing, Business Communication, Professional Development",4.7,26000,https://www.coursera.org/specializations/improve-english
Bookkeeping Basics,Intuit,"Accounting, General Accounting, Accounting Software, Finance",4.6,5000,https://www.coursera.org/learn/bookkeeping-basics
People and Soft Skills for Professional and Personal Success,IBM,"Leadership and Management, Communication, Problem Solving, Critical Thinking, Planning, Professional Development, Collaboration, People Management, Conflict Management, Creativity",4.6,875,https://www.coursera.org/specializations/people-and-soft-skills-for-professional-success
Preparing for Google Cloud Certification: Machine Learning Engineer,Google Cloud,"Machine Learning, Google Cloud Platform, Applied Machine Learning, Human Learning, Cloud Computing, Machine Learning Software, Cloud Platforms, Machine Learning Algorithms, Deep Learning, Tensorflow, Feature Engineering, Artificial Neural Networks, Training, Exploratory Data Analysis, DevOps, Python Programming, Cloud-Based Integration, Data Analysis, Data Visualization, Probability & Statistics, Statistical Programming, Big Data, Regression, Statistical Visualization, SQL, Algorithms, Continuous Integration, Cloud API, Apache, Extract, Transform, Load, Docker (Software)",4.5,7000,https://www.coursera.org/professional-certificates/preparing-for-google-cloud-machine-learning-engineer-professional-certificate
ChatGPT Advanced Data Analysis,Vanderbilt University,"ChatGPT, Generative AI",4.9,278,https://www.coursera.org/learn/chatgpt-advanced-data-analysis
Introduction to Programming with Python and Java,University of Pennsylvania,"Python (Programming Language), Object Oriented Programming (OOP), Java (Programming Language), Java, Computer Programming, Pandas (Python Package), Programming Concepts, Data Visualization, Data Analysis, Data Science, Data Structures, Unit Testing",4.5,6000,https://www.coursera.org/specializations/programming-python-java
Project Execution: Running the Project,Google,"Management, Communications, Operations Management, Project Management, Strategic Planning, Business Communication, Collaboration, Quality Management, Risk Management, Project Engineering, Project Planning, Strategic Thinking",4.8,8000,https://www.coursera.org/learn/project-execution-google
Applied Data Science with R,IBM,"R (Programming Language), Data Visualization, SQL (Programming Language), Data Science, Regression Analysis, Data Analysis, Data Collection, Data Wrangling, Graphical Tools, Text Mining",4.5,890,https://www.coursera.org/specializations/applied-data-science-r
Pharmacy Technician Fundamentals,MedCerts,,4.8,304,https://www.coursera.org/specializations/pharmacy-technician-fundamentals
Microsoft Azure Data Engineering Associate (DP-203),Microsoft,"Microsoft Azure, Apache Spark, Data Warehousing, Cloud Storage, Databricks, Analytics, Cloud Engineering, PySpark, Data Pipelines, Advanced Analytics, Big Data, CI/CD, Cloud API, Data Modeling, Predictive Analytics, SQL (Programming Language)",4.4,926,https://www.coursera.org/professional-certificates/microsoft-azure-dp-203-data-engineering
Business Analytics with Excel: Elementary to Advanced,Johns Hopkins University,"Data Analysis, Microsoft Excel, Business Intelligence, Business Analysis",4.8,7000,https://www.coursera.org/learn/business-analytics-excel
Getting started with Google Workspace,Google Cloud,"Google Cloud, Spreadsheets, Collaboration, Scheduling, Human Computer Interaction, Writing and Editing, Business Analysis, Data Visualization, Graphics Software, Authorization (Computing), Communication, Email Marketing, Graphic and Visual Design, Business Communications, Cloud Storage, Cybersecurity, Data Integrity, Instructional and Curriculum Design, Microsoft Office 365, Natural Language Processing, Office and Productivity Equipment and Technology, Sales, Style Guides, Teamwork, Version Control",4.7,5000,https://www.coursera.org/specializations/getting-started-with-google-workspace
Preparing for Google Cloud Certification: Cloud Data Engineer,Google Cloud,"Big Data, Google Cloud, Machine Learning, Data Pipelines, Cloud Computing, Computing Platforms, Google Cloud Platform (GCP), SQL (Programming Language), Data Management, Apache Spark, Apache Kafka, Apache, Cloud Engineering, Cloud Storage, MLOps (Machine Learning Operations), Natural Language Processing, Python (Programming Language), Statistical Programming, Data Analysis, Data Analysis Software, Data Quality, Data Visualization Software, Data Wrangling, Distributed Computing, Extraction, Transformation, and Loading (ETL), Java, Java (Programming Language), PySpark, Regression Analysis",4.6,18000,https://www.coursera.org/professional-certificates/gcp-data-engineering
Generative Adversarial Networks (GANs),DeepLearning.AI,"Generative AI, Artificial Neural Networks, Data Mining, Machine Learning, Machine Learning Algorithms, Python (Programming Language), Statistical Programming, Deep Learning, PyTorch (Machine Learning Library)",4.7,2000,https://www.coursera.org/specializations/generative-adversarial-networks-gans
Psychological First Aid,Johns Hopkins University,"Crisis Intervention, First Aid, Resilience",4.8,19000,https://www.coursera.org/learn/psychological-first-aid
Regulatory Compliance,University of Pennsylvania,"Regulatory Compliance, Regulation and Legal Compliance, Law, Regulation, and Compliance, Finance, Governance Risk Management and Compliance, Health Information Management and Medical Records, Information Privacy, Risk Management, Sarbanes Oxley Act (SOX) Compliance",4.8,1000,https://www.coursera.org/specializations/regulatory-compliance
Data Science,Johns Hopkins University,"R (Programming Language), Data Science, Regression Analysis, Scikit Learn (Machine Learning Library), Statistical Programming, Data Analysis, Statistical Analysis, Data Visualization, Data Wrangling, Natural Language Processing, Statistical Hypothesis Testing, Account Management, Dimensionality Reduction, Git (Version Control System), Machine Learning, Machine Learning Algorithms, Predictive Analytics, Probability Distribution, Programming Concepts, Python (Programming Language), Random Forest Algorithm",4.5,50000,https://www.coursera.org/specializations/jhu-data-science
Google Cloud Digital Leader Training,Google Cloud,"Cloud Engineering, Cloud Computing",4.8,9000,https://www.coursera.org/professional-certificates/google-cloud-digital-leader-training
AI for Medicine,DeepLearning.AI,"Machine Learning, Artificial Intelligence and Machine Learning (AI/ML), Artificial Neural Networks, Deep Learning, Python (Programming Language), Statistical Modeling, Statistical Programming, Bioinformatics, Computer Vision, Data Analysis, Decision Tree Learning, Exploratory Data Analysis, Machine Learning Algorithms, Machine Learning Methods, Natural Language Processing, Natural Language Processing (NLP), Regression Analysis",4.7,3000,https://www.coursera.org/specializations/ai-for-medicine
"Data Engineering, Big Data, and Machine Learning on GCP",Google Cloud,"Big Data, Google Cloud, Machine Learning, Data Pipelines, Cloud Computing, Computing Platforms, Google Cloud Platform (GCP), SQL (Programming Language), Data Management, Apache Spark, Apache Kafka, Apache, Cloud Engineering, Cloud Storage, MLOps (Machine Learning Operations), Natural Language Processing, Python (Programming Language), Statistical Programming, Data Analysis, Data Analysis Software, Data Quality, Data Visualization Software, Data Wrangling, Distributed Computing, Extraction, Transformation, and Loading (ETL), Java, Java (Programming Language), PySpark, Regression Analysis",4.6,18000,https://www.coursera.org/specializations/gcp-data-machine-learning
Algorithms,Stanford University,"Computer Programming, Graph Theory, Algorithms, Data Structures, Programming Concepts, Network Analysis, C (Programming Language), C Based Programming Languages, Cplusplus, Data Mining, Mathematics and Mathematical Modeling, NumPy, Problem Solving, PySpark, Python (Programming Language)",4.8,8000,https://www.coursera.org/specializations/algorithms
"HTML, CSS, and Javascript for Web Developers",Johns Hopkins University,"HTML5, Front End (Software Engineering), Web Development",4.7,16000,https://www.coursera.org/learn/html-css-javascript-for-web-developers
Security Analyst Fundamentals,IBM,"Cybersecurity, Cyber Risk, Cyber Threat Intelligence, Cyber Security Strategy, Incident Response, Penetration Testing, Security Information and Event Management (SIEM), Application Security, Artificial Intelligence, Cyber Security, Cyber Threat Hunting, Data Loss Prevention, DevOps, Digital Forensics, Endpoint Security, IT Security Architecture, Law, Regulation, and Compliance, Mobile Security, Network Protocols, Open Web Application Security Project (OWASP), Payment Card Industry (PCI) Data Security Standards, Python (Programming Language), Scripting Languages, Security Engineering, Software Development, System Software, Vulnerability Assessments, Vulnerability Scanning",4.7,8000,https://www.coursera.org/specializations/security-analyst-fundamentals
Digital Marketing,University of Illinois at Urbana-Champaign,"Digital Marketing, Marketing Analytics, Marketing Strategy and Techniques, Business Modeling, Collaboration, Data Visualization, Marketing, Marketing Strategies, Computer Aided Design, Data Analysis, Design Thinking, Marketing and Public Relations, Product Development, Promotions and Campaigns, Research, Retail Operations, Web Analytics and SEO, Writing and Editing",4.7,22000,https://www.coursera.org/specializations/digital-marketing
"Unsupervised Learning, Recommenders, Reinforcement Learning",DeepLearning.AI,"Machine Learning, Reinforcement Learning, Anomaly Detection, Machine Learning Algorithms, Artificial Intelligence and Machine Learning (AI/ML)",4.9,6000,https://www.coursera.org/learn/unsupervised-learning-recommenders-reinforcement-learning
Operating Systems and You: Becoming a Power User,Google,"Systems Administration, IT Automation, Malware Protection",4.7,27000,https://www.coursera.org/learn/os-power-user
Data Structures and Algorithms,University of California San Diego,"Mathematics and Mathematical Modeling, C (Programming Language), Data Structures, Graph Theory, Algorithms, Computer Programming, Text Mining, Bioinformatics, Programming Concepts, Computational Logic, C Based Programming Languages, Natural Language Processing, Network Analysis, Problem Solving, PySpark, Python (Programming Language)",4.6,16000,https://www.coursera.org/specializations/data-structures-algorithms
Genomic Data Science,Johns Hopkins University,"Bioinformatics, Computer Programming, Python (Programming Language), Statistical Programming, R (Programming Language), Data Analysis, Data Science, Algorithms, Biostatistics, Cloud Management, Computer Science, Data Analysis Software, Descriptive Statistics, Exploratory Data Analysis, Regression Analysis, Unix",4.5,2000,https://www.coursera.org/specializations/genomic-data-science
Foundations of Management,IESE Business School,"Leadership and Management, Accounting, Financial Accounting, Communication, Customer Analysis, Design and Product, Human Resources, Market Analysis, Marketing, Strategy and Operations, Finance, Financial Management, Leadership Development, Marketing Design, Product Marketing, Strategy, Advertising, Employee Relations, Management Accounting, People Development, People Management, Business Psychology, Collaboration, Culture, Financial Analysis",4.8,8000,https://www.coursera.org/specializations/foundations-management
Certified in Cybersecurity,ISC2,"Computer Security Incident Management, Risk Management, Leadership and Management, Network Security, Cryptography, Cyberattacks",4.8,538,https://www.coursera.org/specializations/certified-in-cybersecurity
Reinforcement Learning,University of Alberta,"Machine Learning, Reinforcement Learning, Algorithms, Human Learning, Machine Learning Algorithms, Applied Machine Learning, Computer Programming, Python Programming, Statistical Machine Learning, Statistical Programming, Artificial Neural Networks, Markov Model, Decision Making, Mathematics",4.7,3000,https://www.coursera.org/specializations/reinforcement-learning
Salesforce Sales Operations,Salesforce,"Sales, Customer Relationship Management, Salesforce, Sales Systems, Account Management, Business Process Management, Customer Success, Leadership and Management, Marketing, Operations Management, Strategy, Strategy and Operations, B2B Sales, Databases, Business Analysis, Data Visualization, Data Visualization Software",4.6,3000,https://www.coursera.org/professional-certificates/salesforce-sales-operations
Analyze Data to Answer Questions,Google,"Data Analysis, Data Management, Microsoft Excel, SQL, Spreadsheet Software",4.6,10000,https://www.coursera.org/learn/analyze-data
"Improving Deep Neural Networks: Hyperparameter Tuning, Regularization and Optimization",DeepLearning.AI,"Applied Machine Learning, Deep Learning, Machine Learning, Artificial Neural Networks, Machine Learning Algorithms, Algorithms, Computer Programming, Mathematics, Python Programming, Mathematical Theory & Analysis, Tensorflow, Human Learning",4.9,63000,https://www.coursera.org/learn/deep-neural-network
